problem              , array_size, time_elapsed, smt_clauses

hl_find_overflow     , 10        , 0.655s      , 165
hl_find_overflow     , 11        , 2.420s      , 344
hl_find_overflow     , 12        , 1.365s      , 537
hl_find_overflow     , 13        , 2.198s      , 744
hl_find_overflow     , 14        , 3.500s      , 965
hl_find_overflow     , 15        , 7.362s      , 1200
hl_find_overflow     , 16        , 15.197s     , 1449
hl_find_overflow     , 17        , 38.768s     , 1712
hl_find_overflow     , 18        , 1m:58.725s  , 1989

hl_prove_no_overflow , 10        , 0.183s      , 186
hl_prove_no_overflow , 11        , 0.356s      , 388
hl_prove_no_overflow , 12        , 0.701s      , 606
hl_prove_no_overflow , 13        , 1.439s      , 840
hl_prove_no_overflow , 14        , 3.240s      , 1090
hl_prove_no_overflow , 15        , 7.513s      , 1356
hl_prove_no_overflow , 16        , 19.486s     , 1638
hl_prove_no_overflow , 17        , 56.630s     , 1936
hl_prove_no_overflow , 18        , 4m:1.432s   , 2250

ll_find_overflow     , 10        , 2.831s      , 178
ll_find_overflow     , 11        , 7.028s      , 370
ll_find_overflow     , 12        , 4.305s      , 576
ll_find_overflow     , 13        , 23.952s     , 796
ll_find_overflow     , 14        , 29.384s     , 1030
ll_find_overflow     , 15        , 1m:1.546s   , 1278
ll_find_overflow     , 16        , 37.995s     , 1540
ll_find_overflow     , 17        , 48.869s     , 1816
ll_find_overflow     , 18        , 1m:42.552s  , 2106

ll_prove_no_overflow , 10        , 0.492s      , 199
ll_prove_no_overflow , 11        , 0.589s      , 370
ll_prove_no_overflow , 12        , 0.834s      , 645
ll_prove_no_overflow , 13        , 1.437s      , 892
ll_prove_no_overflow , 14        , 1.415s      , 1155
ll_prove_no_overflow , 15        , 1.839s      , 1434
ll_prove_no_overflow , 16        , 4.337s      , 1729
ll_prove_no_overflow , 17        , 8.787s      , 2040
ll_prove_no_overflow , 18        , 23.125s     , 2367

ll_equiv_hs_spec     , 10        , 0.280s      , 169
ll_equiv_hs_spec     , 11        , 0.055s      , 354
ll_equiv_hs_spec     , 12        , 0.082s      , 555
ll_equiv_hs_spec     , 13        , 0.133s      , 772
ll_equiv_hs_spec     , 14        , 0.219s      , 1005
ll_equiv_hs_spec     , 15        , 0.401s      , 1254
ll_equiv_hs_spec     , 16        , 0.891s      , 1519
ll_equiv_hs_spec     , 17        , 2.378s      , 1800
ll_equiv_hs_spec     , 18        , 9.802s      , 2097
